,Oligodendrocyte/OPC__Donor_333,Excitatory neuron__Donor_865,Excitatory neuron__Donor_614,Excitatory neuron__Donor_333,Inhibitory neuron__Donor_31,Excitatory neuron__Donor_1001,Excitatory neuron__Donor_638,Excitatory neuron__Donor_228,Inhibitory neuron__Donor_1001,Excitatory neuron__Donor_31,Support/Vascular/Immune__Donor_1001,Excitatory neuron__Donor_1007,Astrocyte Homeostatic__Donor_614,Inhibitory neuron__Donor_638,Inhibitory neuron__Donor_333,Astrocyte Reactive__Donor_1001,Microglia__Donor_1001,Oligodendrocyte/OPC__Donor_1001,Microglia__Donor_865,Support/Vascular/Immune__Donor_638,Support/Vascular/Immune__Donor_228,Inhibitory neuron__Donor_865,Support/Vascular/Immune__Donor_614,Inhibitory neuron__Donor_614,Microglia__Donor_333,Microglia__Donor_614,Oligodendrocyte/OPC__Donor_865,Support/Vascular/Immune__Donor_865,Support/Vascular/Immune__Donor_333,Microglia__Donor_228,Astrocyte Reactive__Donor_614,Support/Vascular/Immune__Donor_31,Microglia__Donor_1007,Astrocyte Homeostatic__Donor_31,Inhibitory neuron__Donor_228,Inhibitory neuron__Donor_1007,Oligodendrocyte/OPC__Donor_638,Support/Vascular/Immune__Donor_1007,Astrocyte Reactive__Donor_865,Oligodendrocyte/OPC__Donor_614,Microglia__Donor_638,Microglia__Donor_31,Oligodendrocyte/OPC__Donor_228,Excitatory neuron__Donor_545,Inhibitory neuron__Donor_941,Excitatory neuron__Donor_941,Excitatory neuron__Donor_1467,Oligodendrocyte/OPC__Donor_941,Support/Vascular/Immune__Donor_941,Inhibitory neuron__Donor_545,Oligodendrocyte/OPC__Donor_545,Microglia__Donor_545,Support/Vascular/Immune__Donor_1467,Inhibitory neuron__Donor_1467,Support/Vascular/Immune__Donor_545,Microglia__Donor_941,Astrocyte Homeostatic__Donor_941,Astrocyte Homeostatic__Donor_545,Excitatory neuron__Donor_609,Excitatory neuron__Donor_735,Excitatory neuron__Donor_634,Astrocyte Homeostatic__Donor_1146,Astrocyte Homeostatic__Donor_609,Support/Vascular/Immune__Donor_1146,Inhibitory neuron__Donor_1146,Inhibitory neuron__Donor_1278,Oligodendrocyte/OPC__Donor_721,Microglia__Donor_634,Excitatory neuron__Donor_1146,Excitatory neuron__Donor_721,Microglia__Donor_1146,Astrocyte Reactive__Donor_1146,Microglia__Donor_609,Inhibitory neuron__Donor_634,Inhibitory neuron__Donor_721,Oligodendrocyte/OPC__Donor_1278,Support/Vascular/Immune__Donor_735,Inhibitory neuron__Donor_609,Oligodendrocyte/OPC__Donor_735,Excitatory neuron__Donor_1278,Support/Vascular/Immune__Donor_609,Support/Vascular/Immune__Donor_634,Support/Vascular/Immune__Donor_1278,Support/Vascular/Immune__Donor_721,Astrocyte Homeostatic__Donor_735,Inhibitory neuron__Donor_735,Microglia__Donor_721,Oligodendrocyte/OPC__Donor_634,Astrocyte Homeostatic__Donor_721,Astrocyte Reactive__Donor_735,Astrocyte Reactive__Donor_634,Microglia__Donor_735,Oligodendrocyte/OPC__Donor_1146,Astrocyte Reactive__Donor_609,Oligodendrocyte/OPC__Donor_609,Astrocyte Homeostatic__Donor_1278
ENSG00000006747,14.0,43.0,9.0,3.0,538.0,18.0,5.0,7.0,734.0,2.0,6.0,2.0,6.0,470.0,244.0,0.0,5.0,10.0,870.0,1.0,2.0,9.0,1.0,105.0,0.0,4.0,2.0,5.0,4.0,0.0,3.0,0.0,5.0,2.0,98.0,100.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,10.0,114.0,1.0,1.0,3.0,3.0,171.0,0.0,0.0,3.0,180.0,0.0,0.0,0.0,0.0,443.0,5.0,31.0,3.0,5.0,3.0,84.0,74.0,19.0,12.0,10.0,1.0,2.0,0.0,2.0,348.0,107.0,0.0,1.0,5.0,1.0,4.0,4.0,8.0,0.0,4.0,0.0,1269.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0
ENSG00000007129,0.0,12.0,5.0,0.0,50.0,4.0,3.0,2.0,87.0,1.0,13.0,0.0,1.0,52.0,23.0,0.0,14.0,1.0,148.0,0.0,0.0,2.0,3.0,11.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,44.0,1.0,0.0,0.0,0.0,65.0,0.0,3.0,0.0,2.0,3.0,27.0,14.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,48.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000008394,158.0,3141.0,1913.0,1964.0,330.0,2645.0,2460.0,2859.0,809.0,2668.0,1170.0,481.0,42.0,150.0,735.0,93.0,1923.0,58.0,264.0,73.0,195.0,811.0,448.0,175.0,276.0,1074.0,2.0,237.0,878.0,9.0,31.0,372.0,29.0,12.0,6.0,19.0,0.0,30.0,21.0,2.0,51.0,98.0,2.0,1943.0,466.0,924.0,1428.0,13.0,216.0,45.0,0.0,32.0,155.0,92.0,76.0,123.0,2.0,4.0,3370.0,766.0,1516.0,107.0,68.0,1353.0,631.0,305.0,326.0,1044.0,5477.0,1228.0,4214.0,18.0,913.0,528.0,415.0,10.0,388.0,277.0,3.0,2128.0,968.0,243.0,477.0,731.0,12.0,298.0,459.0,16.0,6.0,20.0,38.0,325.0,3.0,26.0,0.0,4.0
ENSG00000008517,6.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,0.0,3.0,1.0,2.0,0.0,18.0,0.0
ENSG00000009694,137.0,3338.0,1771.0,1223.0,144.0,3363.0,492.0,394.0,267.0,668.0,1394.0,138.0,28.0,62.0,366.0,5.0,317.0,69.0,154.0,377.0,905.0,510.0,688.0,243.0,19.0,150.0,5.0,972.0,793.0,20.0,5.0,678.0,13.0,15.0,33.0,23.0,5.0,89.0,12.0,4.0,48.0,10.0,1.0,833.0,294.0,439.0,193.0,10.0,433.0,334.0,4.0,23.0,465.0,31.0,293.0,13.0,4.0,0.0,3175.0,1547.0,1378.0,98.0,101.0,1321.0,605.0,165.0,195.0,419.0,3049.0,1009.0,255.0,3.0,397.0,395.0,244.0,11.0,856.0,498.0,4.0,884.0,1385.0,876.0,613.0,682.0,21.0,160.0,81.0,21.0,5.0,0.0,24.0,119.0,5.0,2.0,1.0,3.0
ENSG00000010319,10.0,6.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0
ENSG00000010327,14.0,88.0,15.0,4.0,270.0,29.0,10.0,24.0,324.0,8.0,22.0,3.0,7.0,173.0,70.0,3.0,12.0,46.0,172.0,1.0,6.0,4.0,9.0,136.0,0.0,3.0,8.0,7.0,7.0,0.0,1.0,7.0,0.0,5.0,35.0,31.0,10.0,0.0,2.0,7.0,0.0,0.0,2.0,11.0,40.0,6.0,5.0,1.0,2.0,152.0,3.0,0.0,4.0,92.0,1.0,0.0,0.0,0.0,189.0,4.0,32.0,7.0,7.0,6.0,89.0,53.0,38.0,12.0,16.0,3.0,7.0,0.0,3.0,170.0,44.0,2.0,8.0,5.0,0.0,2.0,7.0,12.0,2.0,3.0,9.0,161.0,1.0,22.0,2.0,0.0,4.0,1.0,1.0,0.0,6.0,0.0
ENSG00000010379,35.0,173.0,146.0,63.0,24.0,385.0,167.0,48.0,8.0,42.0,15.0,24.0,5.0,7.0,0.0,160.0,31.0,17.0,11.0,3.0,4.0,13.0,5.0,2.0,3.0,20.0,3.0,6.0,6.0,3.0,37.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,68.0,2.0,5.0,0.0,0.0,73.0,51.0,42.0,51.0,7.0,6.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,154.0,123.0,290.0,19.0,12.0,10.0,6.0,33.0,39.0,23.0,51.0,42.0,21.0,27.0,20.0,5.0,12.0,5.0,0.0,2.0,0.0,127.0,2.0,7.0,5.0,8.0,7.0,2.0,11.0,1.0,3.0,45.0,261.0,13.0,0.0,31.0,0.0,0.0
ENSG00000010610,26.0,39.0,21.0,21.0,310.0,67.0,17.0,11.0,333.0,16.0,13.0,4.0,2.0,110.0,92.0,29.0,11.0,14.0,121.0,1.0,7.0,4.0,7.0,50.0,1.0,9.0,0.0,7.0,15.0,0.0,6.0,5.0,0.0,1.0,31.0,29.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,11.0,69.0,16.0,9.0,1.0,1.0,102.0,1.0,0.0,1.0,48.0,2.0,0.0,0.0,0.0,143.0,16.0,22.0,8.0,8.0,21.0,114.0,91.0,18.0,12.0,41.0,11.0,25.0,12.0,10.0,149.0,52.0,0.0,9.0,10.0,0.0,20.0,11.0,9.0,3.0,13.0,1.0,293.0,8.0,2.0,0.0,9.0,31.0,1.0,0.0,4.0,0.0,0.0
ENSG00000011028,15.0,97.0,54.0,28.0,253.0,141.0,45.0,29.0,193.0,35.0,38.0,5.0,4.0,79.0,61.0,86.0,33.0,26.0,160.0,14.0,14.0,52.0,12.0,14.0,1.0,17.0,2.0,9.0,18.0,2.0,36.0,4.0,2.0,1.0,35.0,21.0,2.0,3.0,74.0,0.0,7.0,1.0,0.0,24.0,146.0,21.0,7.0,4.0,10.0,90.0,0.0,1.0,7.0,58.0,9.0,1.0,1.0,0.0,74.0,41.0,67.0,17.0,8.0,45.0,129.0,100.0,21.0,16.0,70.0,21.0,48.0,35.0,19.0,88.0,36.0,1.0,16.0,8.0,1.0,49.0,23.0,17.0,13.0,11.0,4.0,178.0,8.0,8.0,3.0,30.0,322.0,15.0,0.0,12.0,0.0,0.0
ENSG00000011201,65.0,1974.0,481.0,417.0,645.0,1164.0,579.0,783.0,901.0,393.0,141.0,91.0,10.0,321.0,447.0,2.0,57.0,25.0,521.0,22.0,49.0,522.0,50.0,158.0,6.0,30.0,5.0,89.0,70.0,1.0,1.0,67.0,1.0,9.0,89.0,82.0,3.0,12.0,2.0,2.0,7.0,8.0,1.0,438.0,257.0,139.0,233.0,8.0,56.0,304.0,0.0,2.0,39.0,158.0,15.0,5.0,0.0,2.0,1313.0,463.0,921.0,39.0,33.0,221.0,337.0,256.0,118.0,49.0,913.0,176.0,64.0,0.0,42.0,687.0,194.0,5.0,54.0,193.0,0.0,357.0,106.0,58.0,69.0,51.0,9.0,571.0,5.0,12.0,1.0,0.0,14.0,14.0,2.0,1.0,1.0,1.0
ENSG00000011426,11721.0,9177.0,600.0,2081.0,3023.0,1209.0,2270.0,1348.0,137.0,142.0,201.0,272.0,2067.0,69.0,334.0,11.0,119.0,4256.0,61.0,15.0,30.0,18.0,81.0,78.0,9.0,44.0,11.0,101.0,72.0,1.0,4.0,19.0,1.0,374.0,207.0,2.0,4.0,5.0,6.0,28.0,15.0,2.0,21.0,2424.0,9479.0,508.0,307.0,482.0,9.0,19.0,20.0,3.0,15.0,285.0,22.0,5.0,48.0,193.0,2334.0,728.0,4808.0,2077.0,3162.0,97.0,528.0,10456.0,7643.0,105.0,154.0,436.0,43.0,2.0,109.0,123.0,2238.0,840.0,44.0,426.0,100.0,1378.0,82.0,89.0,20.0,53.0,1661.0,192.0,16.0,635.0,116.0,1.0,40.0,11.0,34.0,4.0,24.0,100.0
ENSG00000011465,29.0,342.0,192.0,144.0,17.0,910.0,189.0,41.0,54.0,34.0,76.0,15.0,6.0,16.0,3.0,843.0,6.0,14.0,7.0,14.0,2.0,11.0,60.0,7.0,0.0,4.0,1.0,91.0,63.0,0.0,345.0,5.0,1.0,2.0,1.0,2.0,3.0,0.0,395.0,2.0,2.0,0.0,0.0,81.0,64.0,67.0,37.0,6.0,16.0,3.0,0.0,0.0,2.0,7.0,5.0,1.0,0.0,1.0,194.0,233.0,318.0,3.0,17.0,91.0,13.0,37.0,76.0,17.0,180.0,68.0,9.0,114.0,12.0,12.0,27.0,2.0,21.0,7.0,1.0,194.0,39.0,27.0,17.0,45.0,4.0,6.0,3.0,7.0,2.0,325.0,1007.0,0.0,0.0,198.0,2.0,0.0
ENSG00000011600,4.0,26.0,9.0,3.0,160.0,17.0,7.0,3.0,197.0,2.0,4.0,0.0,4.0,53.0,43.0,1.0,7.0,3.0,61.0,0.0,1.0,7.0,2.0,22.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,1.0,0.0,0.0,68.0,0.0,0.0,1.0,39.0,0.0,1.0,0.0,0.0,123.0,1.0,11.0,9.0,5.0,6.0,40.0,56.0,24.0,2.0,4.0,3.0,3.0,0.0,4.0,88.0,19.0,0.0,1.0,2.0,0.0,7.0,4.0,4.0,2.0,1.0,0.0,197.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
ENSG00000012779,184.0,105.0,29.0,48.0,696.0,39.0,15.0,29.0,818.0,21.0,48.0,5.0,23.0,263.0,227.0,0.0,24.0,42.0,980.0,6.0,9.0,14.0,23.0,135.0,3.0,15.0,6.0,29.0,33.0,0.0,0.0,15.0,3.0,10.0,96.0,86.0,3.0,2.0,1.0,3.0,6.0,8.0,1.0,29.0,298.0,11.0,13.0,9.0,22.0,337.0,3.0,3.0,15.0,204.0,8.0,5.0,0.0,0.0,647.0,14.0,112.0,52.0,50.0,63.0,268.0,266.0,175.0,36.0,54.0,21.0,69.0,0.0,47.0,420.0,142.0,5.0,38.0,16.0,2.0,13.0,36.0,29.0,23.0,40.0,20.0,648.0,18.0,18.0,0.0,1.0,5.0,40.0,0.0,1.0,6.0,0.0
ENSG00000013293,5228.0,2403.0,570.0,577.0,4783.0,1009.0,430.0,457.0,48.0,204.0,1023.0,88.0,975.0,29.0,134.0,66.0,950.0,913.0,258.0,63.0,68.0,23.0,347.0,54.0,84.0,298.0,13.0,467.0,418.0,22.0,16.0,76.0,13.0,764.0,64.0,1.0,6.0,26.0,17.0,11.0,85.0,16.0,4.0,496.0,9349.0,273.0,87.0,891.0,116.0,22.0,4.0,51.0,51.0,183.0,62.0,49.0,43.0,43.0,1503.0,600.0,1204.0,2812.0,1973.0,823.0,497.0,5510.0,13337.0,1162.0,810.0,475.0,566.0,56.0,671.0,55.0,1774.0,438.0,325.0,260.0,34.0,485.0,449.0,406.0,62.0,239.0,902.0,89.0,154.0,162.0,162.0,11.0,106.0,312.0,93.0,12.0,15.0,59.0
ENSG00000013588,9.0,30.0,10.0,3.0,8.0,28.0,5.0,3.0,1.0,2.0,4.0,1.0,5.0,0.0,3.0,7.0,6.0,69.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,17.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,9.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,13.0,9.0,6.0,4.0,3.0,2.0,5.0,5.0,5.0,11.0,4.0,2.0,2.0,8.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,24.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,3.0,0.0
